year,country,out_c24a,out_c24b,out_c24,share_steel,share_nonferrous
2014,PRT,2642.8063,677.3684,3320.1747,0.7959841089084861,0.20401589109151394
2014,ROU,4862.0604,1067.1158,5929.1762,0.8200229232519689,0.1799770767480312
2014,ROW,54080.0507,52550.8146,106630.8653,0.50717070097714,0.4928292990228599
2014,RUS,63334.7256,54213.0855,117547.81109999999,0.5387997020728871,0.46120029792711303
2014,SAU,3624.6756,2396.0348,6020.7104,0.6020345373197157,0.3979654626802844
2014,SEN,288.2328,58.1033,346.3361,0.8322343526995887,0.16776564730041135
2014,SGP,1873.1838,1169.3296,3042.5134,0.6156698603200893,0.38433013967991075
2014,STP,0.0105,0.0063,0.016800000000000002,0.625,0.37499999999999994
2014,SVK,4345.8995,1078.432,5424.3315,0.8011861922524462,0.19881380774755378
2014,SVN,1161.667,889.7096,2051.3766,0.5662865609366899,0.43371343906330995
2014,SWE,12645.6848,6184.3622,18830.047,0.6715694761675317,0.3284305238324684
2014,THA,6738.3223,2845.91,9584.2323,0.7030633324695187,0.29693666753048126
2014,TUN,345.1061,221.9916,567.0977,0.6085478745549489,0.39145212544505115
2014,TUR,46785.7304,13405.6888,60191.419200000004,0.777282393766851,0.2227176062331489
2014,TWN,52263.9581,10687.6264,62951.584500000004,0.8302246641623453,0.1697753358376547
2014,UKR,21109.8148,1410.5937,22520.4085,0.9373637605197082,0.06263623948029183
2014,USA,149920.6234,145694.3743,295614.9977,0.5071482318774113,0.4928517681225887
2014,VNM,8538.9719,3293.5143,11832.4862,0.7216549215159871,0.27834507848401296
2014,ZAF,15427.4036,5809.031,21236.4346,0.7264592145802101,0.2735407854197898
